station_name,review_text,review_rating
Forest Gate Police Station,"“A police officer has condemned people who cheered a man escaping police after a confrontation which left two officers requiring hospital treatment.
The incident on Romford Road, Newham, east London, was filmed and shared on social media with laughter and shouts of encouragement clearly audible.

But SUPT ROY SMITH described it as a ""sad state of affairs"". THE SADDEST STATE OF AFFAIRS IS THAT IN 99% OF CASES YOU DON’T DO YOUR JOB, BUT YOU DEMAND WE SUPPORT YOU.
Supt Smith tweeted it was ""disappointing to see members of the public filming this and laughing at the officers"". THE REAL DISAPPOINTMENT IS A GROSSLY SUB-STANDARD POLICE SERVCE NATIONALLY

DET SUPT SEAN YATES said: ""Acting on instinct when approaching a suspicious car, [the officers] were confronted with two aggressive men who have intimated that they were armed.

""The officers put themselves in harm's way to protect the public and I would urge anyone with any information to come forward."" YOU CANNOT REALLY EXPECT PUBLIC SUPPORT FROM A PUBLIC LET DOWN AND BETRAYED BY THE POLICE
This attitude displayed by the public is indicative of every single serving constable of all rank.  They should each and every one should be arrested and charged with impersonating a police officer
IF CARLSBERG DID POLICE THEN THEN THE POLICE WOULD POLICE",1
Charing Cross Police Station,"Gave us food and clothes, but showers took a while (understandable if busy and no female police officers). Cool building space when you first go in the 'cage' after the pixie vans. My officers handled me with care by picking me up on all limbs but then shoved me on my back into the van lmao. One of the officers with me was 1324 and she was super nice, handled me nicely communicated calmly and friendly vibes like saying ""at least you made him (the sarge) laugh. I know sometimes this is a tactic to get you to open up however, she even said ""hope you have everything you need, best of luck, take care"" <3 The custody staff bringing stuff to me though was very agitated and frank haha, we think he's not mean but just really up-front and verbal, like he said ""you know what time it is? This is not a hotel service, It's sometime in the morning, something to 3 now""
""What time is it""
""I'll tell you when I come back......*comes back with food I requested-vegan breakfast and rice* it nearly 12, I'll check on you every half hour (meaning I can ask for stuff then), don't ring the buzzer ok? *I nod and say ""yes""* good.

One of the sarge's checking my friend out gave the travel warrent copy to my friend and we think that it's on purpose, so not the nicest sarge.",2
Dagenham Police Station,"was asked to arrive at the station at noon , took almost two hours to be seen. Miscommunication from the incompetent receptionist. Receptionist blamed me in an accusational manner despite the huge delay being due to her laziness to be bothered to ask the proper questions, such as reference no. Told me to wait for almost 2 hours instead. Also had an attitude and was rude once she realised her own error, side note- just because you do not like your job do not take it out on others, there was too much second hand embarrassment for the poor old lady. Received an apology via phone and was given a so called appointment at 9am 2 days later. Once again was not seen until almost an hour later, despite being the only member of public in the station for the most part and plenty of officers present. After all this nonsense my issue was dismissed and they did not follow the procedure i was told they would follow. Waited hours on more than one occasion just for a 4minute senseless conversation. Wasted my time and proposed time allocations for non existent appointments. Disappointing to say the least especially when a bunch of officers are present playing footsie at the back office and flirting with one another like children.

Date -  Began 15/01/21",1
Brixton Police Station,"Worst experience a decent human being can have. Totally partial, biased, no one seems to take any responsibility for anything or help you access the information you desperately needs . I was DENIED SOLICITOR even though that’s the first thing I ask for when I VOLUNTEERED myself to go there and ended up in prison for two weeks because I didn’t know how to put forward and defend my case. Now I am fighting that case against Brixton police station misconduct in court although they tried their best to talk me out of it.
I never ever thought that police can have such prejudice, dismissiveness, lack of fundamental human courtesy, disregard, rude and cold! Sad to say that experience with them changed my mind about Met Police and lost all the respect for them.

I will update this review after the outcome of court case against them.

They don't even deserve 1 star.

3-4-2022

Further found out very recently that one of the officer from Brixton police station has had affair with my ex and hence he done all this.

He’s being investigated in the light of undeniable proof I have given to the court of law.

Once I get the decision I shall update.",1
Hounslow Police Station,"Put it this way if I feel suicidal and my mind is messed up I look at a sweaty decent guy in Uniform he should be wearing in Warfare talking about nice stuff and reminding me we can all beat our real demons if we look at what we have and if we don't get stressed out but talk or cry when we have issues. That is Everyone- any Creed or Background- this is a Force trying to meet impossible challenges on very shaky economic footing so claps and hugs please not a real attitude problem! Fantastic group of ladies and gentlemen without whom I’d have struggled hard to enjoy Brentford as it is. Incredibly supportive, intensely kind and very interesting and intelligent as individuals. I could not find a nicer or more friendly force to personally deal with- be it helping me out or helping me help others. I’m sincerely grateful and they deserve to be highly commended in my humble opinion. There’s not one thing I could say that wouldn’t recommend this service to the community. Committed, courageous and I’m extremely glad to have shaken hands with a young PC waiting for a McDonald’s on his very brief break- he was charming.",5
Walworth Police Station,"12-28 Manor Pl, 18 Jul 2019 at 2:23pm
information for persons when cs incapacitant spray has been used ; needs validation with all outstanding ctr infringements.
advicve to people subjected to taser discharge; needs validation with all outstanding ctr infringements owed to sir carl d p collier , walworth manor place is no longer insured to make any arrests or use any of the CE products and devices until they have made full payment and regrouped, rename and retrained . all INSURANCE POLICY,S ARE VOID OFFICERS ARE NOT ALOUD IN PUBLIC WITH UNIFORM . THIS IS INSUBORDINATE AND YOU SHOULD BE FIRED WITHOUT PAY .
PLUS ANY OFFICERS USING VEHICLE REGISTERED AS A WORK CAR OR TRANSIT WILL BE PERMANENTLY BAND VIA SURVEILLANCE . THIS HAS BEEN REPORTED AS STOLEN SO THEY SHOULD BE TREATED AND PROSECUTED  AS ANY OTHER CIVILIAN 18/07/2019 14:17 THIS DEMAND IS FULLY PROTECTED BY GLOBAL SUPER COMPONENTS ALONG WITH THE TRANSFER & WITHDRAWALS INFRINGEMENT   (I PROMISE TO PAY THE BEARER ON DEMAND THE SUM OF SIR CARL DOUGLAS PETER COLLIERS REQUESTS HE  AS IN I OWN ALL RIGHTS RESERVED UNTIL FUTURE  NOTICE..., London SE17 3BB",5
Kensington Police Station,"Reported a crime, was told a police officer would come to view the property and they called by Kensington police start  by an officer  who refused to attend the arranged meeting to check the property,  even though I’ve whittnessed people trying to break in, im at the property literally everyday in the day  light it’s fine but at night because it’s s basement flat and the lights don’t work and the window are timid and locks front and back  and door don’t close properly as damaged by the Housing Association work( Catalyst Housing ransacked my fathers home leaving it dangerous so my father could not even pass away there after battling cancer as unsafe) I got two crime reference numbers, Catalyst will not do the repairs so I can live there and the police will not support the crimes what a disgrace.

This police officer refused to go to my dads property and said they are also unable to board it up and it not a crime. Where’s the duty of care here,  either my dads property needs to needs to be robbed or I need to be actually attacked for either of  them to help. Where our public duty of care. DISGRACE",1
Bexleyheath Police Station,"My dog was siezed in February, he's been proven to be totally innocent. No updates despite efforts to make contact, including visiting the station. Been told he passed an assessment awaiting conditions of return. He's never bitten anyone, accidentally scratched a snowflake with his paw who tried to pick up her little dog when ours ran over. Incident happened in Nov 21, so clearly the lady was determined to see our dog penalised since they didn't sieze him until Feb 2022. We have made an official complaint. It's the total lack of information, not returning e-mails, the officer when I visited police station recently assured me he would get the sargeant of the PC handling the case. Now have resorted to making a telephone complaint. This whole system is an absolute joke. Disgustingly unfair. Effectively a member of our family rescued in April 2021 from harm siezed by police for accidentally scratching the wrist of another dog owner..... It's a total lack of attention and information. Struggle to undersand how police get away with this behaviour?",1
Kensington Police Station,Wish if there was an option of No star. I went to attest my photos for my travel document and according to guidelines I can go to a police officer and as I live around the corner and I thought it would be actually better plus my bank manger suggested me to go to the  police station as they dont do it either. The police officers first of all didn't know then they said they don't know me personally and they are not allowed to.I showed them home office guidlines that certain people can attest who should not me my relatives. But one police officer kept saying he doesnt know me for 7 years and didnt even bother to look at the paper I had where it said to confirm that the photos are true likeness of me and thats all. The lady officer said why i didnt go to my doctor. I said well it also says police officer so why not you. It was ridiculous. If the police  is not allowed to say my photo is mine and confirm my identity then who can ?? I dont belive this as if it was true then why home office will say in their guidelines to go to them.,1
Stoke Newington Police Station,"Tucked away on Stoke Newington High Street I found myself with little option but to check into this charming looking boutique hotel. Unfortunately my stay was anything but favourable. The rooms were a disgrace. The white walls and lack of furnishings gave it a cold, almost cell like feel. The bed was rock solid and the mattress virtually non-existent. The proximity to the outside wall meant the room was constantly cold – and I had to request additional blankets from the night porter. The breakfast looked like it was reheated by Chef Mike – and was extremely unappealing. Such a shame - as this place has so much potential. A refurbishment is sorely needed. If not for the exemplary conduct of the hotel staff - this would have been a wasted journey. They typified the attitude required to run an establishment like this; being both helpful and humorous. All in all I’d give my stay at Hotel Stoke Newington Police Station a rating of 3 stars out of 5. I’ve stayed in worse places – but I hope not to be back anytime soon.",3
Sutton Police Station,"I was arrested due to my drunk & 'bipolar' friend threatening me with knife & then when I rang Police she accused me of everything under the sun! Arresting Officers were incredibly nice to Me & took my disabilities into account. Spent about 20 hours - 4pm-12pm - in Cell, with two breaks to see the on call Doctor. Wasn't able to get comfortable or sleep. Staff talked to me frequently throughout the night & brought me regular food & drinks. Incredibly polite & responded to all my requests. Made myself & my Appropriate Adult feel comfortable & when I was released with no charge, we thanked them for their consideration. I'll be sending them a Xmas Card this year! X-D
Two gripes: Food far too salty for me & made me feel ill & toilet completely unsuitable for someone with my health issues to defecate & clean myself afterwards.

Oh & are all Holding Cells identical? I counted 1,074 Tiles in mine & wanted to see if they were all the same?

Overall in my case , bloody well done Sutton Police Custody !",4
Islington Police Station,"Just I back from Islington police station waiting for 2 hours 44 minuets,  Including me totally 4 people’s only waiting area. How police working??? But doesn’t help me , wasting of my time .
I am shop owner ( I am woman) , Someone try to scare me , So I been to police station to report.  When my turn coming , I explained to him and showed him the message also, and he ( Isaac) police answer me , if the guy send me more message and do something to me then come back and report,  look this is police or not . He doesn’t  care , and When I asked his name for future if something happen to me I have to report to him also, so he looked angry and he said look look (showed his shirt) answer me.

Every year more crimes in Islington, of course police are not working properly and doesn’t help people.

I been to police station, because of I need a help from them. I have business. I am not going for nothing to wait 3 , 4 hours. But doesn’t help me

Thank you very much
Islington police station and Isaac",1
Stoke Newington Police Station,"Rubbish of a police station if you think this place is five star you might also think eating two slices of bread with cheese and ketchup is the best meal you ever had. I went over there today I was giving a letter regarding an   incident that I have so little a part of, so the police can investigate. Went over there 12:45 (roughly) waiting in a queue which some of the people where waiting over there for hours. No one would be at the front to serve you ""because"" they are at the back trying to pick ""info"" of your visit. Hours went by I got frustrated then suddenly a person comes out and tells us the reason of the delay, telling us in the ""21st century"" the police station operates only ""TWO"" computers to get people's info of their visit. Then finally came my turn after 4 hours of wait, then was told by the police that was meant to investigate the case he is unable to investigate today. Wasted my time wasted my money just to hear that, GRANDPA/stone age of a police station terrible",1
Twickenham Police Station,"My granddaughter Elsie who will be four in July and I were in Hampton Court Palace on Tuesday 13th June 2017 and we were told that the Queen was coming. Whilst we were waiting we were able to speak to two really lovely policemen, I think one of them was called Ken, I feel really bad for forgetting their names, they were so nice and really kind to Elsie and one of them even carried Elsie and he told us that he has a young son and I took their photos. They told us that they were from Twickenham Police Station. Elsie was just so thrilled, she just could not stop talking about the two policemen and also how she waved her flags as the Queen's car drove passed us. I would just like to say thank you to all those policemen and policewomen who were there that afternoon. You are all a great group of people and I know sometimes you get such negative feedback from the public but really I have nothing but praise and admiration and thanks for all the good work that you all do.",5
Forest Gate Police Station,"My experience has been this IS A VERY GOOD POLICE FORCE & STATION.  I have ALWAYS BEEN DEALT WITH LENIENT & TOLERANT OFFICERS. They look at the situation.. NOT JUST THE LAW. When I have needed help in the last 30 years this police force has ALWAYS COME TO HELP & RESCUE..  WELL DONE FOREST GATE POLICE STATION...I CANNOT THANK YOU ENOUGH OF THE GOOD IN YOUR FORCE.  Yes ques at the desk can be a problem, but thats not their fault government cut backs.

I WOULD GIVE YOU 200 OUT OF 100 IF I COULD, your leniency in small matters goes a long way to help people come on the right track - rather than penalise and punish all the time.  ONCE AGAIN 1000 TIMES THANK YOU...you attended when, my house got robbed - officers were very very sympathetic.   You attended when my son went missing, they found him, you attended when their was a parking dispute with the neighbour and it was resolved.

B R I L L I A N T   W O R K   F O R E S T   G A T E     S T A T I O N  ! !",5
Hayes Police Station,I have my phone stolen so i contacted police then i did investigation myself and found it is in cash converters. I told them that i found my stolen phone but they dont do nothing about contacted them multiple times police man in reception suggested me to give up on this case it is too difficult for them. I did more investigation and found out that cash converters knowingly sell stolen items and are covered up by ignorance of police because it is to big job for them because cash converters buy and sell stolen gods on daily bases. After time police can close the case on lack of evidence. I really disappointed on police work. I suggest they should close up this police station. I would be better of sorting out my things if there would be no police. Now i'm hopeless because cash converters is covered by police they protect thifs... This is only occasion i turn to police in my life and they surprised me i could think of anything but this is ridiculous.,1
Hounslow Police Station,"Dealt with my enquiry of a lost tablet cctv where it was taken but they said there was no evidence had a lot of personal pictures of my family i seen the person take it but due to it being to them too much time to go through cctv they took the word of the male pharmacist and never bothered looking into cctv i lost all my pictures that were of people that mean the world to me i understand they hv a lot to deal with but thats no excuse i question if it was there belongings theyd do all in their power to make sure the individual was brought to justice as their family and life would be on the line but as i dont wear a uniform its different but if that device was in the wrong hands due to past DV issues i had to learn to live in fear not nice from a normal human being that suffered at the hands of abuse and also my daughter thatcsufferd alongside me i dont play the victim maybe if i did id get more support thats a disgrace in my opionion.

ANON",2
Bexleyheath Police Station,"I have been nicked so many times since the lockdown period, i have to say the staff at bexleyhesth police station are simply amazing, they are generally jovial with a great sense of humour but still keep the level of proffesionalism required  not to mention their duty to care for the people that are in detention there me being one of them, the jailers are brilliant and attend to ensuring detainees are fed and hydrated or get their cups of tea or coffee, ive only been out for an hour or so and miss them already, the custody suite is such a laugh at times when they are not under so much pressure, my only complaint would be that steak chips and a pint aint on the menu lol. The service at bexleyheath custody is better than some hotels i have satyed at, Sending thanks praise and good will to all the staff that are in my opinion great human beings, yeah you get the odd bellend but come on every trade has them aye ;)
lots love n lols NOOKZY x",5
Sutton Police Station,"Had an Inspector investigate my allegations of Corruption & Mail-  Practice  within the Croydon Police . She removed most of my complaints, without my consent or Knowledge. It would appear that this women has educational problems. Sometimes she can read, sometimes not. Sometimes she can retrieve computer evidence supplied, Sometimes not. I thought they where meant to have good eyesight,  apparently, only when it suits them. When I replied via a email address, freely given to me, Her Ladyship  replied back that she was offended by my comments and that if I contacted her again in anyway, she would have me arrested. We need to build more Prisons & put all people in the criminal / civil INJUSTICE system in them. They must be interrogated, until we get the TRUTH, THE WHOLE TRUTH, AND NOTHING BUT THE TRUTH, from them. Do not know what to do now. Should I contact the I.P.P.C., OFSTEAD, or the R.S.P.C.A.",1
Ilford Police Station,"I HAD A NEED TO REPORT A  SUNKEN MANHOLE WHICH WAS CAUSING SOME PROBLEMS AT THE GEORGE IN WANSTEAD  E11.HAVING WITNESSED A NEAR MISS BETWEEN A CYCLIST AND 2 CARS I RUSHED HOME TO PHONE ILFORD POLICE STATION.AS TOO EARLY FOR COUNCIL,I WAS INFORMED THAT I COULD ONLY EMAIL? OR PHONE LATER? SO LOOKING AT MY LAP TOP I NOTICED 118118 AT END OF ADDRESS FOR ILFORD POLICE STATION SO WITHOUT THINKING PHONED,AND REPORTED PROBLEM TO GIRL.THIS COST ME £24.00.WHEN MY BILL  CAME IN!!! AS AN OAP .THIS IS  TOO EXPENSIVE ? FOR ME ON BASIC STATE PENSION?WHY IS THERE NO WARNING OF PREMIUM LINE ON POLICE SITE? HAVE E.MAILED DAVID SEATON BUT  NOT ABLE TO HELP, AS CANNOT FIND SITE? CAN ANYBODY HELP IN THIS MATTER?AS DAVID SEATON IS AIDE  TO JOHN CRYER MP IAM DISSAPOINTED  118118 IS STILL ALONGSIDE POLICE ADDRESS? WITH NO NOTIFICATION OF COSTING!!! BARKINGSIDE P/STATION NORMAL NUMBER. I WILL BE WISER NEXT TIME?",1
Lewisham Police Station,"Arrived here to report a hate crime and understandably nervous but the receptionist put me at ease straight away. Nice to have someone there who came across as someone who knew the local area & the local people, good and bad. When it came to taking the details of my report this was done by another member of civilian staff I felt this was brilliantly done with sympathy and some important advice. Things rather fell down when I actually got round to being a police officer. The technology was clearly outdated as he struggled to type in the information then wandered off to get a keyboard to attach to his tablet. The whole reporting process took a lot longer than it should have and at times I felt he gave an impression of disinterest and was not giving the crime the attention it deserved. Thankfully it has now transpired that after review the case is being pursued. I’m awaiting developments.",4
Walworth Police Station,"My first encounter with being 'the wrong side of the law', (XR Rebellion).

I found everyone I interacted with to be professional and respectful.

Yeah... being put in a cell for the first time was a bummer, but it is the politicians that are at fault and let's not ever forget we're going to need people such as this more than ever, in the very near future, as our society disintegrates due to Climate Change and Biodiversity Loss.

I could never do their job... It's a thankless task... So I sincerely hope the Officers and Staff I met at Walworth Police Station will manage to maintain as much moral integrity as they can (& humour!) as the political pressure increases exponentially for those in their position to act inappropriately.

Good luck Walworth Police Station!!  You are all, (as well as the rest of us!!), going to need to stay aware as to what is really going on around us!!",5
Kingston Police Station,"Some of the officers are great, the seasoned ones with experience are second to none hense two stars. Some of the younger ones are brash, tease and totally disregard all SEN training. Mental health is being championed in the press but as always in reality are being misunderstood, undertrained and disregarded. Shame, where an understanding was achieved years ago has now been undone and underfunded. Welcome back to more joining the prison club, Kingston Upon Thames are now joining the ranks to put away innocent mental health patients alongside ruthless lawbreakers. Shame they get a kick out of taking the piss, keep going and we’ll have bigger problem with people trusting authorities. Having always advocating the local authorities I now have to admit to my SEN child that Police comments weren’t true or necessary. Shame, whish I could have proved otherwise. :(",2
